genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
10751,10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,Family
35,37735,en,Easy A,14.69,2010-09-17,Easy A,6.8,4168,Comedy
14,27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,Fantasy
12,27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,Adventure
28,27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,Action
35,27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,Comedy
18,27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,Drama
28,22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Action
35,22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Comedy
10749,22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Romance
35,38365,en,Grown Ups,14.291,2010-06-24,Grown Ups,6.1,3171,Comedy
35,239,en,Some Like It Hot,14.2,1959-03-18,Some Like It Hot,8.2,1562,Comedy
10749,239,en,Some Like It Hot,14.2,1959-03-18,Some Like It Hot,8.2,1562,Romance
80,41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,Crime
18,41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,Drama
28,41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,Action
53,41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,Thriller
27,7978,en,The Wolfman,14.03,2010-02-12,The Wolfman,5.7,1009,Horror
28,44048,en,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,Action
53,44048,en,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,Thriller
18,44214,en,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,Drama
53,44214,en,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,Thriller
16,44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,Animation
12,44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,Adventure
10751,44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,Family
14,44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,Fantasy
10749,61979,es,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,Romance
18,61979,es,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,Drama
12,23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,Adventure
28,23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,Action
18,23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,Drama
28,27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,Action
35,27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,Comedy
80,27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,Crime
80,23168,en,The Town,13.476,2010-09-17,The Town,7.1,2386,Crime
18,23168,en,The Town,13.476,2010-09-17,The Town,7.1,2386,Drama
53,23168,en,The Town,13.476,2010-09-17,The Town,7.1,2386,Thriller
28,20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,Action
37,20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,Western
18,20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,Drama
14,20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,Fantasy
53,20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,Thriller
12,20526,en,TRON: Legacy,13.459,2010-12-10,TRON: Legacy,6.3,4387,Adventure
28,20526,en,TRON: Legacy,13.459,2010-12-10,TRON: Legacy,6.3,4387,Action
878,20526,en,TRON: Legacy,13.459,2010-12-10,TRON: Legacy,6.3,4387,Science Fiction
12,9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,Adventure
14,9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,Fantasy
